transaction_hash,block_number,arbitrager,protocols,profit_raw,cost_in_usd,profit_amount_in_usd,flash_loan_asset,flash_loan_amount,flash_loan_in_usd
0xa889f24bb68179014c32766c646c52d021d253200c08789e556d6c95a4d563af,21519224,0x34d9ec47df33f7b7ae9cc2fd439714d57ae26728,{},"[{""address"":""0x5c47902c8c80779cb99235e42c354e53f38c3b0d"",""amount"":""2.491714980000000166160498688e+27""}]",0,0,,,
0x260b777dbfed18bf540fdd004cfc10db3a1a2c92236d138300433e0bef1b84ba,21519225,0x089d2772bae390a741504781ba4b4954ed230828,{},"[{""address"":""0x1202f5c7b4b9e47a1a484e8b270be34dbbc75055"",""amount"":""71289357233790342774""}]",0,0,,,
0x63c80bc891bd3299a19e9cf3095bc4e68b08c6368d353a3972d066ca7df7b245,21519226,0x0eae044f00b0af300500f090ea00027097d03000,{},"[{""address"":""0x744d70fdbe2ba4cf95131626614a1763df805b9e"",""amount"":1}]",4.512430938979534,-4.512430938979534,,,
0x6e8f6e64b6c094c561d95953bbc6c881c56437c182f4925d4266576cf91ad5d9,21519227,0xf47c306258567b98dbfeea421e472492d1e67230,{},"[{""address"":""0x927e0286a74279f27a4b963d108313071bb46bdb"",""amount"":493191044150006}]",0,0,,,
0x523830cc2408cdaf30fbcaa23be09478ea98037601601b387d30a6d46c4082bc,21519228,0x01bd2da640345f1c29831b7cef9a434298408172,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""1136692654495059""}]",3.8117806687175393,0.008975100408236791,,,
0xc0086e9589a1ab294bf70df0dfa7085cc4ee676ea839cebe41b6c854cd070c46,21519228,0xe08d97e151473a848c3d9ca3f323cb720472d015,"{BalancerV1,BalancerV2,BalancerV2}","[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""5207196773045526""}]",11.567455726196478,5.935452410765798,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3558278100493475,0
0x6aad5f6907040b7123b4448704d781a0390328f7472fcef6b1422cd5aa1ddef2,21519228,0x8e354f07ac2073a38cdc817cb8cebc8cd219ccbd,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":972129172455424}]",3.2418775440870204,0.02573233207997072,,,
0xaf25b210ea077190adc6d7fa1633a1bfd9c67e47d98ef002e26564c77529ce39,21519228,0x507888e987257a8dde6f8afa46375cefe2cbf504,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":527971575752974}]",1.7622438948849328,0.012422666049873188,,,
0xa6e580be704660a913c6ea8a916e30216b1fc04385894652199c865fde9409ed,21519229,0x65a895451168c1200f15c8219ed458f682c3deac,{},"[{""address"":""0x44971abf0251958492fee97da3e5c5ada88b9185"",""amount"":""52798424162898458410""}]",3.2385801941083665,192.05520735735018,,,
0x60754686404f11649b25c418eae52072331e3ab64c9295059c4723247b25062d,21519229,0xe8cfcd7bc9e4f6a268022b28940132dea1ee7165,{},"[{""address"":""0x6982508145454ce325ddbe47a25d4ec3d2311933"",""amount"":""1.12589819194883304088443266e+26""}]",4.8179813760840595,2056.859233829102,,,
