transaction_hash,block_number,sandwich_id,transaction_log_index,type,sandwicher,victim,profit_raw,profit_amount_in_usd,cost_in_usd,protocols
0x6a377d7244d09750fa37164033a009487a7e7cecc51e0ff54fe987b5f11ef6b7,21519269,0xa267940fff43a1dbc8864a67aad9d511e7c117a59abcf28a3a67bc30c4da3e0c,3,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""82411395513057280"",""additionalAmount"":""-66149197631455232""}]",277.0087530723886,61.79245243719005,{SushiSwap}
0x8bd9f762e978b96c647ecb50530f7e013e592f787a7ff95a47d53bb1c5db8e3c,21519269,0xb17fbe8e6630adbd2766fde12569881b7448edf5497e82192c2affbc5843ae06,2,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""82411395513057280"",""additionalAmount"":""-66149197631455232""}]",277.0087530723886,61.79245243719005,{SushiSwap}
0xfe10f4b83b02691ea40405c14abbbcc76def2d76e277702d81662bcf80d11164,21519271,0xc2414e679e4c2a1fc697d9a17aaf53d9644e39cd1241ca6a3ab7fba6c52a823c,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""706192624712679424"",""additionalAmount"":""-646364653697368064""}]",2373.7195224364605,341.3053886511417,{SushiSwap}
0xfde5d8503a58037791b71e78016d6488e2e9c3f2ede044f2e33635b90917545f,21519271,0xc2414e679e4c2a1fc697d9a17aaf53d9644e39cd1241ca6a3ab7fba6c52a823c,1,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""706192624712679424"",""additionalAmount"":""-646364653697368064""}]",2373.7195224364605,341.3053886511417,{SushiSwap}
0xb8961b07f2f5c91749a01364d2e45297372ff518794cf1b3c64ec569af1bf3a2,21519271,0xc2414e679e4c2a1fc697d9a17aaf53d9644e39cd1241ca6a3ab7fba6c52a823c,3,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""706192624712679424"",""additionalAmount"":""-646364653697368064""}]",2373.7195224364605,341.3053886511417,{SushiSwap}
0x40257e32bef750082c408054af8b82ab66803d2d02f9dea2de85b79669a1614a,21519271,0x9cd99a52f2adc3d21b66d88888a1fdf8fd3bc95222aa726133f178339d1157f9,2,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""706192624712679424"",""additionalAmount"":""-646364653697368064""}]",2373.7195224364605,341.3053886511417,{SushiSwap}
0x3fba100c6941659e2e9e26e1c301647d5ec5f18dd48544095c528b8413f65fed,21519274,0xd54ad99abf036eed2557817995387f4ebb3390c11d22540b6ac829c81eb190d5,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""37768665032716653"",""additionalAmount"":-2639641866604}]",126.95150641228886,151.8560411540019,{UniswapV3}
0x62a0e271bc5739a1d506477f1f401a6ea2ec163f209860144f2cae25c1b783e3,21519274,0xd54ad99abf036eed2557817995387f4ebb3390c11d22540b6ac829c81eb190d5,2,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""37768665032716653"",""additionalAmount"":-2639641866604}]",126.95150641228886,151.8560411540019,{UniswapV3}
0xfbe601a79ac3c9b72a73de555dcddbe04afc1897727e693cd0924fe6cd07bddb,21519274,0xd54ad99abf036eed2557817995387f4ebb3390c11d22540b6ac829c81eb190d5,49,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""37768665032716653"",""additionalAmount"":-2639641866604}]",126.95150641228886,151.8560411540019,{UniswapV3}
0xd1a6753f01f42ac4e7004f716481021bdfea6cccd781d963bdef1787152ec99d,21519274,0xd54ad99abf036eed2557817995387f4ebb3390c11d22540b6ac829c81eb190d5,4,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""37768665032716653"",""additionalAmount"":-2639641866604}]",126.95150641228886,151.8560411540019,{UniswapV3}
